No,NAMA,JUDUL,ABSTRAK,label
1,Ahmad Sujai,Perancangan Sistem Keamanan Kunci Rumah Dengan Radio Frequency Identification(Rfid) Menggunakan E-Ktp,"Tindakan pencurian barang berharga dan dokumen penting telah menjadi hal yang biasa, salah satunya adalah dengan melakukan pembobolan terhadap sistem pengaman kunci rumah. Hal ini menyebabkan perlu adanya solusi terkait sistem keamanan yang lebih baik, salah satunya adalah dengan menggunakan Radio Frequency Identification (RFID). Keunggulan RFID memiliki code ID yang unik yang dapat dimanfaatkan untuk membuat sistem keamanan yang lebih baik. Sistem yang akan diterapkan adalah dengan memberikan label card id pada e-KTP untuk mengakses ruangan, jika code card RFID yang diinputkan sesuai dengan database ID yang sudah ada maka sistem akan langsung melakukan penyimpanan terhadap identitas dari ID eKP tersebut. Sistem keamanan kunci rumah dengan RFID menggunakan e-KTP yang diharapkan dapat memberikan jaminan keamanan yang lebih baik untuk setiap rumah/ruangan yang membutuhkan tingkat keamanan tinggi. Kata Kunci : Arduino, RFID, Kunci pintu, E-KTP",JK
2,Akhmad Afandi,Implementasi Fiber To The Kos Dengan Mikrotik Rb941 Berbasis Web,"Provider internet paling stabil dan sedang tren jaman sekarang adalah provider internet dengan media jaringan fiber optik (FO). Implementasi â€œFiber to The Kos (FTTK)â€ merupakan pengembangan dari provider internet tersebut, yaitu Fiber To The Home. Arti dari akhiran kata â€œKosâ€ adalah kos-kosan atau kontrakan bagi para perantau. Dengan adanya implementasi Fiber to The Kos ini diharapkan kebutuhan internet masyarakat di sekitar kos-kosan dapat terpenuhi dengan kualitas koneksi yang stabil dan konsisten. Sistem kerja Fiber to The Kos secara singkat dapat dijelaskan sebagai berikut: ISP berbasis FO sebagai gateway intenet diatur oleh perangkat mikrotik sedemikian rupa kemudian disingkronkan dengan aplikasi berbasis web dengan php dan Mysql sebagai basis datanya. Sebagai originalitas implementasi Fiber to The Kos ialah aplikasi monitoring berbasis web yang terkoneksi dengan perangkat mikrotik. Implementasi Fiber to The Kos ini bisa sebagai sumber daya komersil baru bagi penulis maupun pembaca. Kata kunci: Mikrotik, Berbagi, Internet, Fiber Optik",JK
3,Ichsan Wiratama,Sistem Keamanan Jaringan Komputer Dan Data Dengan Menggunakan Metode Port Knocking,"Keamanan data dan informasi membuat teknologi informasi harus diperbaharui setiap saat. Seiring dengan perkembangan teknologi Informasi saat ini yang selalu berubah, menjadikan keamanan suatu informasi sangatlah penting. Banyak serangan yang dilakukanoleh orang-orang yang tidak bertanggung jawab melakukan serangan terhadap server. Seranganserangan tersebut sering dilakukan pada suatu portâ€“port yang dalam keadaan terbuka, sehingga nantinya akan membuat orangâ€“orang yang tidak mempunyai hak akses maupun yang tidak berkepentingan dapat dengan mudah mengendalikan portâ€“port yang telah dimasuki. Maka untuk melakukan keamanan pada jaringan computer dalam mengatasi serangan pada Port-port, salah satunya adalah dengan menggunakan metode Port knoking. Untuk menghindari serangan yang dilakukan dalam keadaan port terbuka maka digunakan suatu metode Port knoking dan mengatur parameter-parameter agar perangkat komputer ini tidak memiliki port komunikasi yang terbuka bebas untuk dimasuki, tetapi perangkat ini masih tetap dapat diakses dari luar. Sehinggaakanmembuat orang yang tidak memiliki hak akses tidak memiliki kesempatan untuk memasuki Port-port yang ada. Kata kunciâ€”Port knoking, port, keamanan jaringan, data",JK
4,Rizky Wahyu Ismail,Metode Penetration Testingpada Keamanan Jaringan Wireless Wardriving PT. Puma Makmur Aneka Engineering Bekasi,"aringan Wirelessselama ini digunakan sebagai penyedia internet yang sangat baik. Dengan  memanfaatkan  jaringan Wireless,  pengguna  dapat  menikmati  internet  tanpa  harus tersambung  pada  sebuah  kabel.  PT.  Puma  Makmur  Aneka  Engineering  sudah  menggunakan Wirelesssebagai  penyedia  internet  yang  dapat  digunakan  oleh  pegawai.  Jaringan Wirelessyang  baik  haruslah  memiliki  keamanan  yang  baik  agar  terhindar  dari  ancaman  kejahatan. Wardrivingadalah suatu kegiatan diamana seseorang maupun sekelompok orang yang dibekali alat  dan  keahlian  untuk  mengakses  sebuah  jaringan Wirelesssecara  gratis  atau  tanpa melakukan login. Wardrivingmerupakan ancaman bagi PT.  Puma Makmur Aneka Engineering karena data penting yang diolah menggunakan jaringan Wirelesstidak terjamin keamanannya. Untuk mengetahui seberapa kuat keamanan jaringan Wirelesspada PT. Puma Makmur Aneka Engineering,  maka  diperlukan  analisis.  Dari  hasil  analisis  yang  telah  dilakukan,  didapatlah kesimpulan  bahwa  jaringan wirelesspada  PT.  Puma  Makmur  Aneka  Engineering  tidak  aman karena masih ada titik hotspot yang dapat dilakukan crack. Kata kunci:jaringan wireless,keamanan jaringan, wardriving, wireless",JK
5,Bukhari Hasan,Implementasi Log Event Management Web Application Firewall Menggunakan Elasticsearch Logstash Dan Kibana,"Aplikasi berbasis web merupakan salah satu jenis aplikasi yang banyak digunakan untuk berbagai keperluan seperti internet banking, e-commerce hingga egoverment. Namun maraknya penggunaan aplikasi berbasis web ini juga berbanding lurus dengan serangan siber yang dihadapi. Pada penelitian ini dilakukan implementasi Log Event Management Web Application Firewall yang bertujuan untuk mendeteksi, mencatat log dan memblokir serangan siber yang dilakukan serta menyimpan, memvisualisasikan log dan menghadirkan notifikasi dari serangan tersebut. Pengujian dilakukan dengan melakukan 3 jenis serangan siber pada web application yaitu SQL Injection, Local File Inclussion dan Cross Site Scripting. Hasil dari pengujian tersebut menunjukkan bahwa serangan SQL Injection, Local File Inclusion dan Cross Site Scripting berhasil dideteksi, dicatat pada log dan diblokir oleh ModSecurity. Selain itu log yang dikirimkan pun berhasil disimpan, diurai dan divisualisasikan pada ELK Stack server serta adanya notifikasi serangan melalui channel Slack dalam waktu yang mendekati real time.
Kata Kunci: Log Event Management, W",JK
6,Cahya Azizurahman,Desain Dan Implementasi Keamanan Jaringan Menggunakan Honeypot,"Perkembangan teknologi jaringan komputer terutama sistem keamanan jaringan tidak lepas dari permasalahan ataupun celah keamanan, banyaknya celah keamanan ini dimanfaatkan oleh orang yang tidak berhak untuk mencuri data-data penting. Kasus serangan terjadi karena pihak yang diserang juga tidak menyadari pentingnya keamanan jaringan untuk diterapkan pada sistem yang dimiliki. Honeyd merupakan honeypot dengan jenis low interaction yang memiliki resiko jauh lebih kecil dibandingkan dengan jenis high interaction karena interaksi terhadap honeypot tidak langsung melibatkan sistem yang sesungguhnya. Pada pengujian kali ini, honeypot diimplementasikan pada jaringan lokal dengan menggunakan honeyd dan kippo mencoba beberapa serangan seperti DoS, dan bruteforce, dari serangan tersebut attacker dapat kita lihat serangan tersebut dari web interface mulai dari pengalamatan ip address yang digunakan oleh penyerang serta jenis serangannya yang nantinya akan terlihat melalui kippo-graph atau grafik serta laporan log hasil serangannya dan diharapkan dapat menjadi masukan dan solusi untuk menentukan kebijakan keamanan pada jaringan dan membuat sistem lebih aman. Kata Kunci : Honeyd, Kippo-graph, Bruteforce, grafik",JK
7,I Komang Darsa,Perancangan Infrastruktur Jaringan Bandwidth Limiter Pada Sistem Vlan Menggunakan Mikrotik (Studi Kasus : Pt Sejong Bio Indonesia),"Penggunaan internet menjadi kebutuhan salah mendasar dalam mendukung proses bekerja, komunikasi dan pertukaran data dapat dilakukan dengan mudah. Semakin banyak penggunaan internet, maka permasalahan yang ditimbulkan semakin kompleks, seperti dari sisi akses pemakaian bandwidth serta keamanan jaringan. Hal ini dapat menjadi masalah yang besar apabila tidak ditangani dengan benar, karena dengan konsumsi bandwidth yang tidak berimbang (boros) dan tereksploitasinya titik keamanan, maka pemakaian bandwith tidak merata dapat mengganggu user. Untuk mendapatkan traffic bandwidth yang optimal maka peneliti melakukan metode management bandwith pada sistem VLAN menggunakan mikrotik dimana menjaga suatu sistem load traffic optimalisasi pada jaringan secara menyeluruh. Dari hasil analisis yang didapat, dapat ditarik suatu kesimpulan bahwa dengan menerapkan simple queue dapat mengoptimalkan pemakaian bandwidth serta mengamankan sistem jaringan yang cukup efektif dari segi teknis konfigurasi. Seorang admin harus terus memantau serta mencari kelemahan-kelemahan yang terdapat pada sistem jaringan yang dikelolanya, sehingga akan didapat sistem jaringan yang baik dan akan kejadian kesalahan yang berdampak perusahaan dapat terminimalisir. Kata kunci : internet, jaringan, Manajement Bandwidth, VLAN, Firewall, Router Mikrotik, IP Address, port, interface",JK
8,Ibnu Prasetyo,Membangun Sistem Keamanan Jaringan Menggunakan Vpn Server Pritunl Yang Diintegrasikan Dengan Dns Filtering Pihole Dan Monitoring User Berbasis We,"Setiap perangkat yang terhubung ke internet memiliki risiko pada keamanan jaringan contohnya seperti serangan Man In The Middle (MITM), dan iklan online yang mengganggu. Man In The Middle (MITM) merupakan serangan cyber yang terjadi ketika komunikasi antara dua belah pihak atau sistem dicegat oleh pihak ketiga secara diam-diam. Serangan tersebut dapat dicegah dengan menggunakan Virtual Private Network (VPN) dan DNS Filtering. Dengan menggunakan Virtual Private Network (VPN) akses ke website menjadi aman karena mengubah jalur koneksi melalui server dan menyembunyikan pertukaran data yang terjadi. Sedangkan DNS Filtering digunakan untuk memblokir website dengan popup iklan online yang mengganggu tersebut disaat user sedang browsing di internet. Diperlukan juga sistem monitoring user berbasis web untuk dapat melihat jenis-jenis domain yang terblokir dan juga domain yang diizinkan. Selain itu dengan sistem monitoring user berbasis web diharapkan dapat melihat status user seperti sistem operasi, dan juga IP private dan IP publik yang digunakan. Kata kunci: VPN, DNS, MITM, Iklan Online, Monitoring User",JK
9,Lily Baryatna,Arsitektur Jaringan Telekomunikasi Voip (Voice Over Internet Protocol) Berbasis Asterisk Sip (Session Initiation Protocol),"Perkembangan teknologi yang sangat pesat saat ini telah membuat hidup manusia semakin lebih mudah. Manfaat perkembangan teknologi dalam hal komunikasi pihak terutama perusahaan ataupun bidang usaha. Teknologi informasi seperti sekarang ini misalnya pemanfaat internet sebagai sarana komunikasi telepon atau biasa disebut dengan VoIP (voice over internet protocol) pada berbagai instansi atau organisasi dalam hal komunikasi yang jauh lebih efisien dan efektif. Penerapan VoIP ini memberikan solusi untuk membangun infrastruktur yang memungkinkan membuat berbagai jenis koneksi sistem komunikasi. Penggunaan teknologi VoIP ini tentu sangat menguntungkan bagi masyarakat luas karena dengan menggunakan layanan VoIP maka biaya yang dikeluarkan untuk berkomunikasi menjadi lebih murah bila dibandingkan dengan media telepon biasa. Jika mengikuti perkembangan teknologi, analog saat ini sudah mulai ditinggalkan, maka dari itu beberapa perusahaan juga memiliki kebutuhan lain seperti pengguanaan telepon extension dalam perangkat mobile (smartphone), oleh karena itu untuk memenuhi kebutuhan tersebut maka akan membangun infrastruktur yang dibutuhkan untuk menunjang kebutuhannya. Kata kunci : VoIp, Infrastruktur, Komunikasi, Smartphone.",JK
10,Maman Muttaqin,Aplikasi Monitoring Jaringan Ip Camera Berbasis Web Menggunakan Google Maps Api V3 (Studi Kasus Up Spll Dki Jakarta),"Unit Pengelola Sistem Pengendalian Lalu Lintas (UP SPLL) Jakarta memiliki fungsi salah satunya ialah melaksanakan penyediaan, pemeliharaan, perawatan, pembangunan dan pengembangan lampu lalu lintas dan sistem pengendalian lalu lintas berbasis elektronik. Contoh bagian dari sistem pengendalian lalu lintas berbasis elektronik yaitu pengelolaan IP Camera selanjutnya disebut CCTV (Closed Circuit Television) yang terpasang di seluruh wilayah kerja UP SPLL. CCTV ini dikelola oleh administrator jaringan NOC (Network Operation Center) yang terdapat di kantor pusat Abdul Muis. NOC memonitoring jaringan (network monitoing) CCTV dengan cara memantau live camera yang di tampilkan dengan layar lebar dan pemeriksaan koneksi jaringan yang ditanganinya dengan melakukan ping ke alamat IP CCTV melalui command prompt. Aplikasi monitoring jaringan CCTV yang berbasis google maps sehingga membantu memantau jaringan dengan marker atau penanda peta. Aplikasi juga terdapat tools untuk mengetes koneksi jaringan tanpa command prompt. Selain itu, inventori data host CCTV tersimpan dalam database aplikasi dan pelaporan maintenance dapat dilakukan langsung dari aplikasi monitoring dengan bantuan sumber kode api whatsapp. Kata Kunci: network monitoing, live camera, google maps, database, whatsapp",JK
